-5,-54,-1
71,0,1
-35,2,-1
84,-33,1
-82,77,-1
36,-29,1
-20,-20,-1
60,-73,1
-5,42,-1
84,-7,1
-32,-40,-1
52,-11,1
-64,-20,-1
51,-44,1
-95,5,-1
68,-27,1
-70,90,-1
29,76,1
-84,32,-1
52,34,1
-9,52,-1
22,30,1
-34,4,-1
15,51,1
-67,41,-1
82,31,1
-20,-91,-1
26,-33,1
-98,-14,-1
29,34,1
-45,-56,-1
44,-85,1
-37,4,-1
10,-33,1
-83,40,-1
56,70,1
-81,-57,-1
19,-81,1
-32,-26,-1
92,96,1
-53,-28,-1
27,-34,1
-65,65,-1
5,56,1
-11,-93,-1
13,88,1
-45,5,-1
28,6,1
-33,21,-1
81,59,1
-37,-75,-1
64,41,1
-48,-20,-1
46,-42,1
-35,88,-1
36,-22,1
-66,-67,-1
46,-33,1
-49,-63,-1
26,-6,1
-42,-41,-1
70,-42,1
-91,97,-1
15,-10,1
-11,-8,-1
74,-82,1
-17,-85,-1
24,-31,1
-91,21,-1
98,-23,1
-24,17,-1
97,5,1
-74,16,-1
15,-54,1
-77,73,-1
26,-94,1
-44,-26,-1
33,-9,1
-93,17,-1
30,-60,1
-50,94,-1
57,26,1
-7,-85,-1
11,14,1
-63,-53,-1
49,-55,1
-82,-83,-1
70,82,1
-44,-52,-1
18,-34,1
-41,-55,-1
66,28,1
-70,-66,-1
86,-45,1
-86,-76,-1
28,-93,1
-91,-74,-1
71,-92,1
-6,-85,-1
9,46,1
-49,-53,-1
31,-14,1
-75,-36,-1
17,-4,1
-30,42,-1
85,69,1
-24,-70,-1
10,-58,1
-23,55,-1
41,-22,1
-17,-39,-1
75,88,1
-51,-45,-1
36,82,1
-31,9,-1
38,-33,1
-19,28,-1
86,73,1
-71,-95,-1
61,-91,1
-71,-3,-1
44,13,1
-71,-31,-1
61,20,1
-30,-80,-1
94,23,1
-92,-46,-1
7,57,1
-43,66,-1
71,-3,1
-94,87,-1
95,-85,1
-37,7,-1
11,-87,1
-16,-84,-1
69,-57,1
-43,-3,-1
78,3,1
-35,-64,-1
80,7,1
-72,-41,-1
91,0,1
-29,57,-1
43,-73,1
-15,72,-1
31,2,1
-78,-75,-1
64,33,1
-33,-95,-1
85,97,1
-46,74,-1
8,-45,1
-81,61,-1
63,-55,1
-30,59,-1
48,5,1
-53,-4,-1
81,-3,1
-16,81,-1
6,-37,1
-70,-98,-1
22,96,1
-57,-46,-1
20,-88,1
-39,47,-1
91,54,1
-61,-49,-1
99,9,1
-13,-94,-1
89,94,1
-10,77,-1
72,-11,1
-76,-76,-1
41,-44,1
-6,-36,-1
79,-55,1
-11,-40,-1
44,-88,1
-53,25,-1
9,-9,1
-88,-30,-1
79,65,1
-31,0,-1
38,49,1
-24,27,-1
41,22,1
-43,33,-1
15,-65,1
-17,49,-1
35,77,1
-45,-80,-1
74,-34,1
-49,-22,-1
46,68,1
-35,67,-1
42,44,1
-95,6,-1
88,80,1
-34,83,-1
94,51,1
-37,-72,-1
88,-19,1
-97,4,-1
91,74,1
-61,-21,-1
19,52,1
-81,-49,-1
41,-25,1
-63,22,-1
47,-10,1
-24,-86,-1
45,27,1
-65,-96,-1
86,-1,1
-77,-4,-1
39,-14,1
-55,-50,-1
30,-25,1
-49,74,-1
42,-37,1
-73,-46,-1
87,31,1
-51,9,-1
57,-26,1
-29,-7,-1
13,61,1
-58,36,-1
9,-7,1
-7,-89,-1
6,-58,1
-39,96,-1
59,65,1
-72,46,-1
40,47,1
-51,47,-1
42,68,1
-19,-55,-1
62,22,1
-12,-58,-1
23,-51,1
-43,81,-1
85,54,1
-80,65,-1
16,-26,1
-72,90,-1
10,10,1
-46,-27,-1
62,-7,1
-76,-22,-1
63,70,1
-81,-13,-1
80,-16,1
-68,-7,-1
19,22,1
-75,76,-1
77,49,1
-89,-73,-1
81,-91,1
-58,-16,-1
75,-51,1
